Year,Jurisdiction,Category,Management,Fate,Tonnes,Core or non-core
"2020-2021","ACT","Biosolids","Other disposal","Disposal","20185.5497421484","Core waste"
"2020-2021","ACT","Biosolids","Recycling","Recycling","0","Core waste"
"2020-2021","ACT","Building and demolition materials","Landfill","Disposal","112667.170800042","Core waste"
"2020-2021","ACT","Building and demolition materials","Recycling","Recycling","272286.869245053","Core waste"
"2020-2021","ACT","Building and demolition materials","Waste reuse","Waste reuse","133987.09","Core waste"
"2020-2021","ACT","Glass","Landfill","Disposal","7170.70258990082","Core waste"
"2020-2021","ACT","Glass","Recycling","Recycling","18383.4448460894","Core waste"
"2020-2021","ACT","Hazardous wastes","Energy from waste facility","Energy recovery","2801.19841534198","Core waste"
"2020-2021","ACT","Hazardous wastes","Landfill","Disposal","21316.7468265694","Core waste"
"2020-2021","ACT","Hazardous wastes","Other disposal","Disposal","204.149529298116","Core waste"
"2020-2021","ACT","Hazardous wastes","Recycling","Recycling","6809.62113721456","Core waste"
"2020-2021","ACT","Hazardous wastes","Treatment","Disposal","896.414645945436","Core waste"
"2020-2021","ACT","Hazardous wastes","Treatment","Energy recovery","148.870190678215","Core waste"
"2020-2021","ACT","Hazardous wastes","Treatment","Recycling","1332.96758563626","Core waste"
"2020-2021","ACT","Metals","Landfill","Disposal","6891.50932669528","Core waste"
"2020-2021","ACT","Metals","Recycling","Recycling","51370.638756044","Core waste"
"2020-2021","ACT","Organics","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","ACT","Organics","Landfill","Disposal","81005.1811574419","Core waste"
"2020-2021","ACT","Organics","Landfill","Energy recovery","35744.2095698098","Core waste"
"2020-2021","ACT","Organics","Recycling","Recycling","145858.951377299","Core waste"
"2020-2021","ACT","Paper & cardboard","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","ACT","Paper & cardboard","Landfill","Disposal","26718.9968344238","Core waste"
"2020-2021","ACT","Paper & cardboard","Landfill","Energy recovery","10472.5184543063","Core waste"
"2020-2021","ACT","Paper & cardboard","Recycling","Recycling","22314.222207411","Core waste"
"2020-2021","ACT","Plastics","Landfill","Disposal","24398.3089448381","Core waste"
"2020-2021","ACT","Plastics","Recycling","Recycling","4916.48927549796","Core waste"
"2020-2021","ACT","Textiles, leather & rubber (excl. tyres)","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","ACT","Textiles, leather & rubber (excl. tyres)","Landfill","Disposal","10270.5541247253","Core waste"
"2020-2021","ACT","Textiles, leather & rubber (excl. tyres)","Landfill","Energy recovery","4140.82302373332","Core waste"
"2020-2021","ACT","Textiles, leather & rubber (excl. tyres)","Recycling","Recycling","0","Core waste"
"2020-2021","ACT","Unclassified materials","Landfill","Disposal","13055.9860096318","Core waste"
"2020-2021","ACT","Unclassified materials","Recycling","Recycling","28.0157974235478","Core waste"
"2020-2021","ACT","Unclassified materials","Waste reuse","Waste reuse","15808.45","Core waste"
"2020-2021","NSW","Ash","Other disposal","Long-term storage","1270634.00686875","Non-core waste"
"2020-2021","NSW","Ash","Recycling","Recycling","1918785.28715353","Non-core waste"
"2020-2021","NSW","Ash","Waste reuse","Waste reuse","2450000","Non-core waste"
"2020-2021","NSW","Biosolids","Other disposal","Disposal","0","Core waste"
"2020-2021","NSW","Biosolids","Recycling","Recycling","352084.416892346","Core waste"
"2020-2021","NSW","Building and demolition materials","Landfill","Disposal","1660133.11912875","Core waste"
"2020-2021","NSW","Building and demolition materials","Recycling","Recycling","6496733.82748343","Core waste"
"2020-2021","NSW","Glass","Landfill","Disposal","168990.833815329","Core waste"
"2020-2021","NSW","Glass","Recycling","Recycling","312759.315857429","Core waste"
"2020-2021","NSW","Hazardous wastes","Energy from waste facility","Energy recovery","48222.294429035","Core waste"
"2020-2021","NSW","Hazardous wastes","Landfill","Disposal","1543152.16257661","Core waste"
"2020-2021","NSW","Hazardous wastes","Other disposal","Disposal","6463.26591131061","Core waste"
"2020-2021","NSW","Hazardous wastes","Recycling","Recycling","283460.858167061","Core waste"
"2020-2021","NSW","Hazardous wastes","Treatment","Disposal","59298.2156531269","Core waste"
"2020-2021","NSW","Hazardous wastes","Treatment","Energy recovery","21006.2358589287","Core waste"
"2020-2021","NSW","Hazardous wastes","Treatment","Recycling","159197.182624474","Core waste"
"2020-2021","NSW","Metals","Landfill","Disposal","240257.644449806","Core waste"
"2020-2021","NSW","Metals","Recycling","Recycling","1613329.71417417","Core waste"
"2020-2021","NSW","Organics","Anaerobic digestion","Recycling","25258.88","Core waste"
"2020-2021","NSW","Organics","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","NSW","Organics","Landfill","Disposal","1703157.68067749","Core waste"
"2020-2021","NSW","Organics","Landfill","Energy recovery","365932.580184432","Core waste"
"2020-2021","NSW","Organics","Recycling","Recycling","2053377.35528314","Core waste"
"2020-2021","NSW","Paper & cardboard","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","NSW","Paper & cardboard","Landfill","Disposal","823077.004561707","Core waste"
"2020-2021","NSW","Paper & cardboard","Landfill","Energy recovery","144790.48697885","Core waste"
"2020-2021","NSW","Paper & cardboard","Recycling","Recycling","991451.121873482","Core waste"
"2020-2021","NSW","Plastics","Landfill","Disposal","614354.062605136","Core waste"
"2020-2021","NSW","Plastics","Recycling","Recycling","91358.1949868445","Core waste"
"2020-2021","NSW","Textiles, leather & rubber (excl. tyres)","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","NSW","Textiles, leather & rubber (excl. tyres)","Landfill","Disposal","207135.683210592","Core waste"
"2020-2021","NSW","Textiles, leather & rubber (excl. tyres)","Landfill","Energy recovery","37259.9149719461","Core waste"
"2020-2021","NSW","Textiles, leather & rubber (excl. tyres)","Recycling","Recycling","3655.36751795119","Core waste"
"2020-2021","NSW","Unclassified materials","Landfill","Disposal","231761.258548193","Core waste"
"2020-2021","NSW","Unclassified materials","Recycling","Recycling","18988.730467247","Core waste"
"2020-2021","NT","Biosolids","Other disposal","Disposal","2719.94555219582","Core waste"
"2020-2021","NT","Biosolids","Recycling","Recycling","12239.7549848812","Core waste"
"2020-2021","NT","Building and demolition materials","Landfill","Disposal","74076.9906795175","Core waste"
"2020-2021","NT","Building and demolition materials","Recycling","Recycling","16792","Core waste"
"2020-2021","NT","Glass","Landfill","Disposal","9388.75820293953","Core waste"
"2020-2021","NT","Glass","Recycling","Recycling","5453","Core waste"
"2020-2021","NT","Hazardous wastes","Energy from waste facility","Energy recovery","1068.69945751732","Core waste"
"2020-2021","NT","Hazardous wastes","Landfill","Disposal","50974.3744155493","Core waste"
"2020-2021","NT","Hazardous wastes","Other disposal","Disposal","2278.6513230612","Core waste"
"2020-2021","NT","Hazardous wastes","Recycling","Recycling","22411.4850063203","Core waste"
"2020-2021","NT","Hazardous wastes","Treatment","Disposal","5488.78162152441","Core waste"
"2020-2021","NT","Hazardous wastes","Treatment","Energy recovery","1305.9283169693","Core waste"
"2020-2021","NT","Hazardous wastes","Treatment","Recycling","9577.69446363781","Core waste"
"2020-2021","NT","Metals","Landfill","Disposal","11995.9970196547","Core waste"
"2020-2021","NT","Metals","Recycling","Recycling","4514.7","Core waste"
"2020-2021","NT","Organics","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","NT","Organics","Landfill","Disposal","118979.271217765","Core waste"
"2020-2021","NT","Organics","Landfill","Energy recovery","1883.675176772","Core waste"
"2020-2021","NT","Organics","Recycling","Recycling","7633","Core waste"
"2020-2021","NT","Paper & cardboard","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","NT","Paper & cardboard","Landfill","Disposal","36448.6713487288","Core waste"
"2020-2021","NT","Paper & cardboard","Landfill","Energy recovery","467.889276017541","Core waste"
"2020-2021","NT","Paper & cardboard","Recycling","Recycling","609","Core waste"
"2020-2021","NT","Plastics","Landfill","Disposal","42273.0806523623","Core waste"
"2020-2021","NT","Plastics","Recycling","Recycling","701.920974865076","Core waste"
"2020-2021","NT","Textiles, leather & rubber (excl. tyres)","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","NT","Textiles, leather & rubber (excl. tyres)","Landfill","Disposal","12460.1529381246","Core waste"
"2020-2021","NT","Textiles, leather & rubber (excl. tyres)","Landfill","Energy recovery","165.964134923734","Core waste"
"2020-2021","NT","Unclassified materials","Landfill","Disposal","0","Core waste"
"2020-2021","NT","Unclassified materials","Waste reuse","Waste reuse","330","Core waste"
"2020-2021","Qld","Ash","Other disposal","Long-term storage","3625031.66422422","Non-core waste"
"2020-2021","Qld","Ash","Recycling","Recycling","5953.04980827158","Non-core waste"
"2020-2021","Qld","Ash","Waste reuse","Waste reuse","861000","Non-core waste"
"2020-2021","Qld","Biosolids","Other disposal","Disposal","0","Core waste"
"2020-2021","Qld","Biosolids","Recycling","Recycling","299142.857142857","Core waste"
"2020-2021","Qld","Building and demolition materials","Landfill","Disposal","696164.102735349","Core waste"
"2020-2021","Qld","Building and demolition materials","Recycling","Recycling","1975618","Core waste"
"2020-2021","Qld","Glass","Landfill","Disposal","136810.502502194","Core waste"
"2020-2021","Qld","Glass","Recycling","Recycling","102909.485","Core waste"
"2020-2021","Qld","Hazardous wastes","Energy from waste facility","Energy recovery","29144.8819000753","Core waste"
"2020-2021","Qld","Hazardous wastes","Landfill","Disposal","855778.015020521","Core waste"
"2020-2021","Qld","Hazardous wastes","Other disposal","Disposal","14342.8141236623","Core waste"
"2020-2021","Qld","Hazardous wastes","Recycling","Recycling","606876.428383104","Core waste"
"2020-2021","Qld","Hazardous wastes","Treatment","Disposal","82721.7654105614","Core waste"
"2020-2021","Qld","Hazardous wastes","Treatment","Energy recovery","8976.94271379858","Core waste"
"2020-2021","Qld","Hazardous wastes","Treatment","Recycling","92259.6754072049","Core waste"
"2020-2021","Qld","Metals","Landfill","Disposal","160831.163633883","Core waste"
"2020-2021","Qld","Metals","Recycling","Recycling","970055.27814","Core waste"
"2020-2021","Qld","Organics","Energy from waste facility","Energy recovery","29518","Core waste"
"2020-2021","Qld","Organics","Landfill","Disposal","1329525.81165141","Core waste"
"2020-2021","Qld","Organics","Landfill","Energy recovery","368597.103348594","Core waste"
"2020-2021","Qld","Organics","Recycling","Recycling","958915","Core waste"
"2020-2021","Qld","Paper & cardboard","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","Qld","Paper & cardboard","Landfill","Disposal","415857.545650284","Core waste"
"2020-2021","Qld","Paper & cardboard","Landfill","Energy recovery","84564.5643497157","Core waste"
"2020-2021","Qld","Paper & cardboard","Recycling","Recycling","562065.34","Core waste"
"2020-2021","Qld","Plastics","Landfill","Disposal","582663.631128574","Core waste"
"2020-2021","Qld","Plastics","Recycling","Recycling","37006.7493477477","Core waste"
"2020-2021","Qld","Textiles, leather & rubber (excl. tyres)","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","Qld","Textiles, leather & rubber (excl. tyres)","Landfill","Disposal","137965.062800921","Core waste"
"2020-2021","Qld","Textiles, leather & rubber (excl. tyres)","Landfill","Energy recovery","28297.5121990793","Core waste"
"2020-2021","Qld","Textiles, leather & rubber (excl. tyres)","Recycling","Recycling","30","Core waste"
"2020-2021","Qld","Unclassified materials","Landfill","Disposal","0","Core waste"
"2020-2021","Qld","Unclassified materials","Recycling","Recycling","0","Core waste"
"2020-2021","Qld","Unclassified materials","Waste reuse","Waste reuse","13414","Core waste"
"2020-2021","SA","Ash","Other disposal","Long-term storage","0","Non-core waste"
"2020-2021","SA","Ash","Recycling","Recycling","0","Non-core waste"
"2020-2021","SA","Ash","Waste reuse","Waste reuse","0","Non-core waste"
"2020-2021","SA","Biosolids","Other disposal","Disposal","1510.82251082251","Core waste"
"2020-2021","SA","Biosolids","Recycling","Recycling","149571.428571429","Core waste"
"2020-2021","SA","Building and demolition materials","Landfill","Disposal","487739.010497836","Core waste"
"2020-2021","SA","Building and demolition materials","Recycling","Recycling","2309416.41912755","Core waste"
"2020-2021","SA","Building and demolition materials","Waste reuse","Waste reuse","15093","Core waste"
"2020-2021","SA","Glass","Landfill","Disposal","15842.7260174682","Core waste"
"2020-2021","SA","Glass","Recycling","Recycling","68355.9423431821","Core waste"
"2020-2021","SA","Hazardous wastes","Energy from waste facility","Energy recovery","12987.8686112952","Core waste"
"2020-2021","SA","Hazardous wastes","Landfill","Disposal","86771.2782262323","Core waste"
"2020-2021","SA","Hazardous wastes","Other disposal","Disposal","6826.77933382676","Core waste"
"2020-2021","SA","Hazardous wastes","Recycling","Recycling","137394.570216765","Core waste"
"2020-2021","SA","Hazardous wastes","Treatment","Disposal","36048.970011423","Core waste"
"2020-2021","SA","Hazardous wastes","Treatment","Energy recovery","7347.54365469322","Core waste"
"2020-2021","SA","Hazardous wastes","Treatment","Recycling","152095.370637295","Core waste"
"2020-2021","SA","Metals","Landfill","Disposal","25789.317979353","Core waste"
"2020-2021","SA","Metals","Recycling","Recycling","350723.293501719","Core waste"
"2020-2021","SA","Organics","Energy from waste facility","Energy recovery","86000","Core waste"
"2020-2021","SA","Organics","Landfill","Disposal","261484.560884072","Core waste"
"2020-2021","SA","Organics","Landfill","Energy recovery","56650.4241713819","Core waste"
"2020-2021","SA","Organics","Recycling","Recycling","683642.115714286","Core waste"
"2020-2021","SA","Organics","Waste reuse","Waste reuse","4711.934","Core waste"
"2020-2021","SA","Paper & cardboard","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","SA","Paper & cardboard","Landfill","Disposal","62788.6593645445","Core waste"
"2020-2021","SA","Paper & cardboard","Landfill","Energy recovery","10732.7507849775","Core waste"
"2020-2021","SA","Paper & cardboard","Recycling","Recycling","181226.22158413","Core waste"
"2020-2021","SA","Plastics","Energy from waste facility","Energy recovery","14000","Core waste"
"2020-2021","SA","Plastics","Landfill","Disposal","48812.9445330842","Core waste"
"2020-2021","SA","Plastics","Landfill","Energy recovery","0","Core waste"
"2020-2021","SA","Plastics","Recycling","Recycling","32376.6376055002","Core waste"
"2020-2021","SA","Textiles, leather & rubber (excl. tyres)","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","SA","Textiles, leather & rubber (excl. tyres)","Landfill","Disposal","34604.3955840614","Core waste"
"2020-2021","SA","Textiles, leather & rubber (excl. tyres)","Landfill","Energy recovery","6056.93195698985","Core waste"
"2020-2021","SA","Textiles, leather & rubber (excl. tyres)","Recycling","Recycling","1560","Core waste"
"2020-2021","SA","Unclassified materials","Landfill","Disposal","0","Core waste"
"2020-2021","SA","Unclassified materials","Recycling","Recycling","0","Core waste"
"2020-2021","SA","Unclassified materials","Waste reuse","Waste reuse","3206","Core waste"
"2020-2021","Tas","Biosolids","Other disposal","Disposal","3021.64502164502","Core waste"
"2020-2021","Tas","Biosolids","Recycling","Recycling","30552.1885521886","Core waste"
"2020-2021","Tas","Building and demolition materials","Landfill","Disposal","82606.9841694208","Core waste"
"2020-2021","Tas","Building and demolition materials","Recycling","Recycling","1776.04959922743","Core waste"
"2020-2021","Tas","Glass","Landfill","Disposal","13204.7262123145","Core waste"
"2020-2021","Tas","Glass","Recycling","Recycling","16828.3096137132","Core waste"
"2020-2021","Tas","Hazardous wastes","Energy from waste facility","Energy recovery","3699.45529211323","Core waste"
"2020-2021","Tas","Hazardous wastes","Landfill","Disposal","32281.9238008505","Core waste"
"2020-2021","Tas","Hazardous wastes","Other disposal","Disposal","11455.7285913496","Core waste"
