country,trade_value,share
China,267717841,32.486
Bangladesh,45964126,5.577
Vietnam,41355461,5.018
Germany,39440350,4.786
Italy,38328783,4.651
India,36216984,4.395
Turkey,33551489,4.071
United States,25171304,3.054
Pakistan,17921593,2.175
Spain,17791873,2.159
France,17599574,2.136
Netherlands,14892235,1.807
Indonesia,12884585,1.563
Cambodia,11748858,1.426
Belgium,10116113,1.228
Japan,7940196,0.963
United Kingdom,7514836,0.912
Poland,7462718,0.906
Mexico,7352356,0.892
Taiwan,7263568,0.881
South Korea,7078866,0.859
Thailand,6864877,0.833
Portugal,6631311,0.805
Myanmar,6033967,0.732
Morocco,5915414,0.718
Sri Lanka,5639688,0.684
Australia,5380166,0.653
Egypt,5218423,0.633
Czech Republic,5107068,0.62
Austria,4995604,0.606
Romania,4819320,0.585
Denmark,4761832,0.578
Tunisia,4119289,0.5
Brazil,4096508,0.497
Switzerland,4038662,0.49
Hong Kong,3854207,0.468
Uzbekistan,3822608,0.464
United Arab Emirates,3670480,0.445
Honduras,3135540,0.38
Canada,3089459,0.375
Malaysia,2800140,0.34
Sweden,2770414,0.336
Bulgaria,2671922,0.324
Jordan,2515846,0.305
El Salvador,2361899,0.287
Guatemala,2040315,0.248
Hungary,2025242,0.246
Nicaragua,1957928,0.238
Slovakia,1913140,0.232
Greece,1771637,0.215
Lithuania,1676424,0.203
Peru,1654649,0.201
Singapore,1431395,0.174
Philippines,1314755,0.16
South Africa,1297317,0.157
Dominican Republic,1267096,0.154
Serbia,1230872,0.149
Croatia,1207331,0.147
Slovenia,1053577,0.128
Israel,982740,0.119
Luxembourg,935073,0.113
Madagascar,907071,0.11
Haiti,868668,0.105
Colombia,808339,0.098
Albania,780111,0.095
Saudi Arabia,694646,0.084
Finland,676940,0.082
Ireland,666554,0.081
Russia,630583,0.077
North Macedonia,597361,0.072
Latvia,592247,0.072
Moldova,575529,0.07
Bosnia and Herzegovina,541816,0.066
New Zealand,535121,0.065
Benin,525737,0.064
Mauritius,491213,0.06
Estonia,480925,0.058
Ukraine,468282,0.057
Kenya,466307,0.057
Laos,458737,0.056
Lesotho,455365,0.055
Chile,432544,0.052
Armenia,426406,0.052
Ethiopia,418834,0.051
Nepal,391238,0.047
Norway,379716,0.046
Tanzania,358768,0.044
Mongolia,339356,0.041
Georgia,331255,0.04
Paraguay,320763,0.039
Kazakhstan,316626,0.038
Argentina,301280,0.037
