Country,Trade value,Share (%)
China,"267,717,841",32.486
Bangladesh,"45,964,126",5.577
Vietnam,"41,355,461",5.018
Germany,"39,440,350",4.786
Italy,"38,328,783",4.651
India,"36,216,984",4.395
Turkey,"33,551,489",4.071
United States,"25,171,304",3.054
Pakistan,"17,921,593",2.175
Spain,"17,791,873",2.159
France,"17,599,574",2.136
Netherlands,"14,892,235",1.807
Indonesia,"12,884,585",1.563
Cambodia,"11,748,858",1.426
Belgium,"10,116,113",1.228
Japan,"7,940,196",0.963
United Kingdom,"7,514,836",0.912
Poland,"7,462,718",0.906
Mexico,"7,352,356",0.892
Taiwan,"7,263,568",0.881
South Korea,"7,078,866",0.859
Thailand,"6,864,877",0.833
Portugal,"6,631,311",0.805
Myanmar,"6,033,967",0.732
Morocco,"5,915,414",0.718
Sri Lanka,"5,639,688",0.684
Australia,"5,380,166",0.653
Egypt,"5,218,423",0.633
Czech Republic,"5,107,068",0.62
Austria,"4,995,604",0.606
Romania,"4,819,320",0.585
Denmark,"4,761,832",0.578
Tunisia,"4,119,289",0.5
Brazil,"4,096,508",0.497
Switzerland,"4,038,662",0.49
Hong Kong,"3,854,207",0.468
Uzbekistan,"3,822,608",0.464
United Arab Emirates,"3,670,480",0.445
Honduras,"3,135,540",0.38
Canada,"3,089,459",0.375
Malaysia,"2,800,140",0.34
Sweden,"2,770,414",0.336
Bulgaria,"2,671,922",0.324
Jordan,"2,515,846",0.305
El Salvador,"2,361,899",0.287
Guatemala,"2,040,315",0.248
Hungary,"2,025,242",0.246
Nicaragua,"1,957,928",0.238
Slovakia,"1,913,140",0.232
Greece,"1,771,637",0.215
Lithuania,"1,676,424",0.203
Peru,"1,654,649",0.201
Singapore,"1,431,395",0.174
Philippines,"1,314,755",0.16
South Africa,"1,297,317",0.157
Dominican Republic,"1,267,096",0.154
Serbia,"1,230,872",0.149
Croatia,"1,207,331",0.147
Slovenia,"1,053,577",0.128
Israel,"982,740",0.119
Luxembourg,"935,073",0.113
Madagascar,"907,071",0.11
Haiti,"868,668",0.105
Colombia,"808,339",0.098
Albania,"780,111",0.095
Saudi Arabia,"694,646",0.084
Finland,"676,940",0.082
Ireland,"666,554",0.081
Russia,"630,583",0.077
North Macedonia,"597,361",0.072
Latvia,"592,247",0.072
Moldova,"575,529",0.07
Bosnia and Herzegovina,"541,816",0.066
New Zealand,"535,121",0.065
Benin,"525,737",0.064
Mauritius,"491,213",0.06
Estonia,"480,925",0.058
Ukraine,"468,282",0.057
Kenya,"466,307",0.057
Laos,"458,737",0.056
