Country,Overall Index Score (0-100),Fair Wages (0-100),Decent Working Hours (0-100),Employment Security (0-100),Family Responsibilities (0-100),Maternity at Work (0-100),Safe Work (0-100),Social Security (0-100),Fair Treatment (0-100),Child and Forced Labour (0-100),Freedom of Association (0-100)
Afghanistan,55,40,80,80,75,40,100,40,20,75,0
Albania,86.5,80,100,60,75,100,100,100,100,100,50
Algeria,67.5,40,80,60,25,60,75,100,60,100,75
Angola,82,100,100,100,50,100,100,40,80,100,50
Argentina,78,100,80,80,50,80,75,80,60,75,100
Australia,87,80,80,60,75,100,100,100,100,100,75
Austria,92,100,100,40,100,100,100,100,80,100,100
Azerbaijan,90.5,80,100,100,75,100,100,100,100,100,50
Bahrain,67,40,80,100,50,40,75,80,80,100,25
Bangladesh,56,80,100,60,0,40,75,40,40,100,25
Belarus,75.5,80,100,60,50,100,100,80,60,75,50
Belgium,95.5,100,100,80,100,100,100,100,100,100,75
Benin,65.5,40,100,40,25,80,100,60,60,100,50
Bolivia,64,80,60,60,25,60,100,80,100,75,0
Bosnia and Herzegovina,88,80,100,40,100,80,100,100,80,100,100
Botswana,39.5,60,60,0,25,0,75,40,60,75,0
Brazil,85.5,100,100,100,50,100,100,100,80,75,50
Bulgaria,91,100,100,60,100,100,100,100,100,100,50
Burkina Faso,72,60,80,40,50,100,100,60,80,100,50
Burundi,72,80,100,60,25,40,100,80,60,100,75
Cabo Verde,82,80,100,100,50,60,75,100,80,100,75
Cambodia,67.5,100,80,80,25,60,75,100,80,75,0
Cameroon,58.5,60,80,40,25,80,75,60,40,100,25
Canada,80.5,100,80,40,50,80,100,80,100,100,75
Central African Republic,56,40,80,80,25,40,50,60,60,75,50
Chad,58,20,100,80,25,80,50,60,40,75,50
Chile,82.5,80,80,80,75,100,100,100,60,100,50
China,73.5,80,80,60,75,100,100,100,40,100,0
Colombia,75.5,80,80,60,50,100,75,100,60,75,75
Congo,65.5,40,80,60,25,80,75,60,60,100,75
Costa Rica,77.5,80,60,100,50,80,100,80,100,75,50
C™te D'Ivoire,84.5,80,100,80,25,100,100,60,100,100,100
Croatia,89.5,60,100,60,100,100,100,100,100,100,75
Cuba,60.5,40,100,40,25,60,100,80,60,100,0
Cyprus,83,60,100,40,75,100,100,100,80,100,75
Czechia,94,80,100,60,100,100,100,100,100,100,100
D.R Congo,67,60,80,40,25,100,100,60,80,100,25
Denmark,93.5,100,100,60,75,100,100,100,100,100,100
Ecuador,77.5,60,80,80,75,80,100,100,100,100,0
Egypt,69.5,80,80,60,50,60,100,100,40,100,25
El Salvador,68.5,80,60,60,25,100,75,80,80,100,25
Estonia,85,80,100,40,100,80,100,100,100,100,50
Eswatini,48,40,80,60,0,20,75,60,20,100,25
Ethiopia,62.5,60,60,100,0,60,100,60,60,100,25
Finland,94,100,100,40,100,100,100,100,100,100,100
France,94,80,100,60,100,100,100,100,100,100,100
Gabon,72,20,80,80,25,80,100,80,80,100,75
Gambia,63,40,60,60,50,80,75,60,80,100,25
Georgia,63,0,80,60,50,100,75,60,80,100,25
Germany,88.5,80,100,80,75,100,100,100,100,100,50
Ghana,59.5,40,80,20,25,40,75,60,80,100,75
Greece,96,80,100,80,100,100,100,100,100,100,100
Guatemala,54,80,60,40,25,60,100,80,20,75,0
Guinea,82.5,100,100,80,50,80,100,80,60,100,75
Haiti,60,60,80,60,25,60,75,60,80,100,0
Honduras,70.5,100,60,80,25,80,75,80,80,100,25
Hungary,96,80,100,80,100,100,100,100,100,100,100
India,65,80,100,40,50,80,75,80,20,100,25
Indonesia,62.5,60,60,80,25,40,100,80,80,100,0
Iran,67,80,80,60,50,40,100,100,60,100,0
Iraq,71,80,100,80,50,60,75,80,60,100,25
Ireland,86,40,100,40,100,80,100,100,100,100,100
Israel,66,80,60,60,0,100,50,80,80,75,75
Italy,94,80,100,60,100,100,100,100,100,100,100
Japan,72.5,80,60,40,75,80,100,100,40,100,50
Jordan,69,40,80,80,75,60,75,80,100,100,0
Kazakhstan,86.5,80,100,100,75,100,100,80,80,75,75
Kenya,67.5,60,60,60,50,60,75,60,100,100,50
Kuwait,61,60,100,40,50,60,100,80,20,100,0
Kyrgyz Republic,73.5,60,80,60,75,100,100,100,60,75,25
Lao PDR,73.5,60,60,80,50,100,75,100,60,100,50
Latvia,93,100,100,80,100,100,100,100,100,75,75
Lebanon,47,60,60,60,0,60,75,60,20,75,0
Lesotho,52.5,60,80,40,25,40,75,40,40,100,25
Liberia,61,20,80,60,50,60,75,60,80,100,25
Libya,64,60,80,100,25,80,75,80,40,100,0
Lithuania,93.5,100,100,80,100,100,100,80,100,100,75
Luxembourg,94,100,100,60,100,80,100,100,100,100,100
Madagascar,67,80,80,60,25,80,100,60,60,100,25
Malawi,74,80,80,60,50,60,100,60,100,75,75
Malaysia,58.5,60,60,40,25,60,100,80,60,100,0
Mali,56.5,40,80,40,25,80,50,60,40,100,50
Malta,89.5,80,100,40,75,100,100,100,100,100,100
Mauritania,56.5,80,80,40,25,60,50,60,20,100,50
Mexico,74,80,60,60,50,80,100,80,80,100,50
Moldova,91.5,60,100,80,100,100,100,100,100,100,75
Mongolia,85,60,100,60,100,100,100,80,100,75,75
Montenegro,89,100,100,60,75,100,100,80,100,100,75
Morocco,77,80,100,100,25,80,75,100,60,100,50
Mozambique,76,80,100,80,50,60,100,80,60,100,50
Myanmar,67.5,80,60,80,25,60,75,100,20,100,75
Namibia,70.5,100,100,20,0,80,100,80,100,75,50
Nepal,64.5,80,80,60,50,40,100,80,80,75,0
Netherlands,90,40,80,80,100,100,100,100,100,100,100
New Zealand,74,20,80,40,25,100,100,100,100,75,100
Nicaragua,78.5,80,80,60,50,80,100,80,80,100,75
Niger,66.5,80,80,80,25,80,100,60,60,75,25
Nigeria,37,40,60,20,25,20,75,60,20,50,0
North Macedonia,86,100,100,60,50,100,100,100,100,100,50
Norway,94,80,100,60,100,100,100,100,100,100,100
Oman,74.5,40,80,100,75,80,100,100,20,100,50
Pakistan,53.5,80,60,100,25,40,75,60,20,75,0
Papua New Guinea,39.5,20,60,40,25,20,25,60,20,50,75
Paraguay,82.5,100,60,60,50,100,100,80,100,100,75
Peru,76,60,80,60,50,80,100,80,100,75,75
Philippines,68,80,60,80,50,100,75,80,80,75,0
Poland,91,80,100,100,75,80,100,100,100,100,75
Portugal,93.5,100,100,60,100,100,100,100,100,75,100
Qatar,47,80,80,60,25,20,50,60,20,75,0
Republic of Korea,83,80,80,100,100,80,100,80,60,100,50
Romania,93,100,100,80,100,100,100,100,100,75,75
Russian Federation,82,80,100,80,75,100,100,100,60,75,50
Rwanda,70,40,80,40,50,80,75,60,100,100,75
Saudi Arabia,62.5,80,80,60,25,20,100,80,80,100,0
Senegal,62.5,40,100,60,25,80,100,60,60,75,25
Serbia,93.5,100,100,60,100,100,100,100,100,100,75
Sierra Leone,59.5,40,80,60,50,80,25,60,100,100,0
Singapore,49,40,40,20,25,20,100,60,60,75,50
Slovakia,93.5,100,100,60,100,100,100,100,100,100,75
Slovenia,90,60,100,60,100,100,100,100,80,100,100
South Africa,81,80,80,40,50,80,100,80,100,100,100
South Sudan,73.5,40,100,100,50,60,100,60,100,100,25
Spain,92,40,100,80,100,100,100,100,100,100,100
Sri Lanka,47.5,40,60,60,25,40,50,60,40,100,0
Sudan,50,40,60,80,25,40,75,60,20,100,0
Sweden,94,100,100,60,100,80,100,100,100,100,100
Syria,66.5,80,100,80,50,60,100,60,60,75,0
Taiwan,74,40,80,40,100,80,75,100,100,100,25
Tajikistan,82.5,60,100,100,75,100,100,80,60,75,75
Thailand,64,80,60,60,0,80,100,100,60,75,25
Togo,74,40,80,80,25,80,100,60,100,100,75
Tunisia,63,60,60,40,50,60,100,100,60,100,0
TŸrkiye,80,60,80,80,100,100,100,100,80,75,25
Uganda,65.5,40,100,40,0,40,100,60,100,100,75
Ukraine,80.5,80,100,40,100,100,100,100,60,75,50
United Arab Emirates,55.5,40,100,40,25,40,75,60,100,75,0
United Kingdom,88,60,80,40,100,100,100,100,100,100,100
United Republic of Tanzania,74,60,80,40,25,80,100,80,100,100,75
United States of America,63.5,60,40,20,50,60,100,80,100,100,25
Uzbekistan,82,60,100,80,75,100,100,100,80,75,50
Venezuela,83.5,80,100,100,50,100,75,100,80,75,75
Viet Nam,77.5,80,80,60,50,100,100,80,100,100,25
Yemen,57,80,80,60,25,20,100,60,20,75,50
Zambia,66.5,60,80,60,25,80,100,60,100,75,25
Zimbabwe,73.5,80,100,60,50,80,75,60,80,100,50
